,spp,sp_code,CCE_Area
208,Cyanea calycina,208,320.6286
209,Cyanea comata,209,51.8976
210,Cyanea copelandii,210,408.78
211,Cyanea coriacea,211,266.2785
212,Cyanea crispa,212,317.7315
213,Cyanea dunbariae,213,39.1833
214,Cyanea elliptica,214,371.169
215,Cyanea fauriei,215,104.5116
216,Cyanea fissa,216,692.0046
217,Cyanea floribunda,217,2105.8083
218,Cyanea gibsonii,218,4.4163
219,Cyanea giffardii,219,39.5181
220,Cyanea glabra,220,176.3001
221,Cyanea grimesiana,221,341.8434
222,Cyanea habenata,222,6.8679
223,Cyanea hamatiflora,223,636.9435
224,Cyanea hardyi,224,209.0682
225,Cyanea hirtella,225,515.3931
226,Cyanea horrida,226,276.7374
227,Cyanea humboldtiana,227,207.7506
228,Cyanea kahiliensis,228,109.1349
229,Cyanea kolekoleensis,229,23.5026
230,Cyanea koolauensis,230,94.131
231,Cyanea kunthiana,231,136.7172
232,Cyanea lanceolata,232,198.9999
233,Cyanea leptostegia,233,62.6004
234,Cyanea lobata,234,109.8495
235,Cyanea longiflora,235,213.1938
236,Cyanea longissima,236,173.6928
237,Cyanea macrostegia,237,237.6486
238,Cyanea mannii,238,34.2846
239,Cyanea marksii,239,259.6464
240,Cyanea mceldowneyi,240,75.2409
241,Cyanea membranacea,241,71.5329
242,Cyanea munroi,242,5.7096
243,Cyanea obtusa,243,200.2095
244,Cyanea pilosa,244,1327.5567
245,Cyanea pinnatifida,245,6.9408
246,Cyanea platyphylla,246,1501.4196
247,Cyanea procera,247,70.6077
248,Cyanea purpurellifolia,248,98.7687
249,Cyanea quercifolia,249,51.8976
250,Cyanea recta,250,251.8353
251,Cyanea remyi,251,183.762
252,Cyanea scabra,253,86.7141
253,Cyanea sessilifolia,254,138.249
254,Cyanea shipmanii,255,167.7672
255,Cyanea solanacea,256,46.3059
256,Cyanea solenocalyx,257,109.3257
257,Cyanea spathulata,258,199.7235
258,Cyanea st.-johnii,259,18.729
259,Cyanea stictophylla,260,1129.1787
260,Cyanea superba,261,24.0615
261,Cyanea sylvestris,262,547.7517
262,Cyanea tritomantha,263,1486.2114
263,Cyanea truncata,264,254.8791
264,Cyanea undulata,265,1.4202
265,Cyclosorus interruptus,266,4596.9696
266,Cyperus cyperinus,267,593.6463
267,Cyperus fauriei,268,1981.8459
268,Cyperus hillebrandii,269,6907.194
269,Cyperus hypochlorus,270,3537.9792
270,Cyperus javanicus,271,3261.5919
271,Cyperus laevigatus,272,152.8173
272,Cyperus odoratus,273,903.105
273,Cyperus pennatiformis,274,1239.6465
274,Cyperus phleoides,275,5674.977
275,Cyperus polystachyos,276,8266.311
276,Cyperus sandwicensis,277,2727.0855
277,Cyperus trachysanthos,278,893.3895
278,Cyrtandra biserrata,279,493.191
279,Cyrtandra calpidicarpa,280,522.0846
280,Cyrtandra confertiflora,281,866.4876
281,Cyrtandra cordifolia,282,244.1475
282,Cyrtandra crenata,283,134.7696
283,Cyrtandra cyaneoides,284,121.8825
284,Cyrtandra dentata,285,245.0754
285,Cyrtandra ferripilosa,286,17.7813
286,Cyrtandra filipes,287,181.2384
287,Cyrtandra garnotiana,288,264.6684
288,Cyrtandra giffardii,289,939.8097
289,Cyrtandra grandiflora,290,208.0818
290,Cyrtandra grayana,291,180.3474
291,Cyrtandra grayi,292,486.1305
292,Cyrtandra halawensis,293,141.5934
293,Cyrtandra hashimotoi,294,397.5696
294,Cyrtandra hawaiensis,295,5977.9251
295,Cyrtandra heinrichii,296,40.1679
296,Cyrtandra hematos,297,9.0288
297,Cyrtandra kalihii,298,338.1831
298,Cyrtandra kamooloaensis,299,314.8794
299,Cyrtandra kauaiensis,300,268.7976
300,Cyrtandra kaulantha,301,66.4659
301,Cyrtandra kealiae,302,486.5913
302,Cyrtandra kohalae,303,200.3832
303,Cyrtandra laxiflora,304,366.4944
304,Cyrtandra lessoniana,305,297.342
305,Cyrtandra longifolia,306,615.6279
306,Cyrtandra lydgatei,307,182.304
307,Cyrtandra lysiosepala,308,3376.9701
308,Cyrtandra macraei,309,189.5139
309,Cyrtandra macrocalyx,310,106.8201
310,Cyrtandra menziesii,311,1349.2431
311,Cyrtandra munroi,312,102.555
312,Cyrtandra nanawalensis,313,434.5407
313,Cyrtandra oenobarba,314,99.8973
314,Cyrtandra oxybapha,315,4.0149
315,Cyrtandra paliku,316,2.6802
316,Cyrtandra paludosa,317,4236.0714
317,Cyrtandra pickeringii,318,383.0139
318,Cyrtandra platyphylla,319,4877.2719
319,Cyrtandra polyantha,320,41.6925
320,Cyrtandra procera,321,32.7618
321,Cyrtandra propinqua,322,290.1456
322,Cyrtandra rivularis,323,274.1094
323,Cyrtandra sandwicensis,324,65.4588
324,Cyrtandra sessilis,325,36.8829
325,Cyrtandra spathulata,326,580.0878
326,Cyrtandra subumbellata,327,109.2825
327,Cyrtandra tintinnabula,328,1097.2872
328,Cyrtandra viridiflora,329,41.346
329,Cyrtandra waianaeensis,330,36.2898
330,Cyrtandra wainihaensis,331,288.3312
331,Cyrtandra waiolani,332,37.7901
332,Cyrtandra wawrae,333,639.5085
333,Cyrtomium caryotideum,334,2640.3462
334,Cystopteris douglasii,335,2862.3465
335,Cystopteris sandwicensis,336,418.4244
336,Delissea niihauensis,337,86.2569
337,Delissea rhytidosperma,338,551.8386
338,Delissea subcordata,339,554.1255
339,Delissea undulata,340,268.1973
340,Deparia fenzliana,341,607.3965
341,Deparia marginalis,342,2249.1171
342,Deparia prolifera,343,2418.408
343,Deschampsia nubigena,344,10278.117
344,Dianella sandwicensis,345,8432.9955
345,Dichanthelium cynodon,346,412.7706
346,Dichanthelium hillebrandianum,347,1368.2844
347,Dichanthelium isachnoides,348,90.8226
348,Dichanthelium koolauense,349,107.3637
349,Dicranopteris linearis,350,8824.9122
350,Diellia erecta,351,1744.2252
351,Diellia falcata,352,559.7037
352,Diellia mannii,353,31.14
353,Diellia pallida,354,49.3074
354,Diellia unisora,355,18.2754
355,Digitaria setigera,356,6928.5402
356,Diospyros hillebrandii,357,718.0821
357,Diospyros sandwicensis,358,7712.3826
358,Diplazium arnottii,359,650.5542
359,Diplazium molokaiense,360,506.8449
360,Diplazium sandwichianum,361,8196.4863
361,Diplopterygium pinnatum,362,3154.1859
362,Dissochondrus biflorus,363,514.1988
363,Dodonaea viscosa,364,15565.3038
364,Doodia kunthiana,365,2362.6539
365,Doodia lyonii,366,1009.3923
366,Doryopteris angelica,367,105.7113
367,Doryopteris decipiens,368,5157.081
368,Doryopteris decora,369,6811.3224
369,Doryopteris takeuchii,370,1.4121
370,Drosera anglica,371,393.9642
371,Dryopteris crinalis,372,1196.1819
372,Dryopteris fusco-atra,373,5009.6547
373,Dryopteris glabra,374,4305.8817
374,Dryopteris hawaiiensis,375,3211.3953
375,Dryopteris mauiensis,376,631.17
376,Dryopteris sandwicensis,377,5964.3243
377,Dryopteris subbipinnata,378,25.4736
378,Dryopteris tetrapinnata,379,45.8964
379,Dryopteris unidentata,380,3984.0345
380,Dryopteris wallichiana,381,6216.3675
381,Dubautia arborea,382,336.2031
382,Dubautia ciliolata,383,4864.8627
383,Dubautia herbstobatae,384,43.488
384,Dubautia imbricata,385,132.2901
385,Dubautia knudsenii,386,380.0223
386,Dubautia laevigata,387,130.7061
387,Dubautia latifolia,388,76.4298
388,Dubautia laxa,389,940.1571
389,Dubautia linearis,390,5985.3942
390,Dubautia menziesii,391,185.6988
391,Dubautia microcephala,392,244.107
392,Dubautia paleata,393,54.5643
393,Dubautia pauciflorula,394,21.3201
394,Dubautia plantaginea,395,4174.8228
395,Dubautia platyphylla,396,135.8082
396,Dubautia raillardioides,397,183.4569
397,Dubautia reticulata,398,110.6352
398,Dubautia scabra,399,8403.7185
